radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,212,10,12603,273987,0,7.430129,43.740236,1000,2,1,1464378857,1547774547,0
UMTS,212,10,12603,478776,0,7.4398040771484,43.756484985352,1000,1,1,1464131771,1464131771,0
UMTS,212,10,12603,262650,0,7.4219512939453,43.735885620117,1000,1,1,1464131771,1464131771,0
UMTS,212,10,12603,262362,0,7.4260711669922,43.737258911133,1000,1,1,1464135626,1464135626,0
UMTS,212,10,12603,273166,0,7.428819,43.740459,1000,6,1,1464411969,1547775213,0
UMTS,212,10,12603,278365,0,7.428168,43.741569,1000,8,1,1464411969,1547774461,0
UMTS,212,10,12603,273957,0,7.42938,43.739039,1000,4,1,1464416697,1547774551,0
UMTS,212,10,12603,273156,0,7.429476,43.741523,1000,3,1,1464416697,1547774849,0
UMTS,212,10,12603,262654,0,7.4233245849609,43.733139038086,1000,1,1,1464302550,1464302550,0
UMTS,212,10,12603,277565,0,7.419205,43.732452,1000,2,1,1464433661,1471282162,0
LTE,212,10,12603,16030,0,7.439112,43.747561,2415,2,1,1464437150,1474549483,0
UMTS,212,10,12603,262561,0,7.4219512939453,43.735885620117,1000,1,1,1464315672,1464315672,0
UMTS,212,10,12603,278375,0,7.429371,43.739611,1000,4,1,1464452217,1547940953,0
UMTS,212,10,12603,278385,0,7.428506,43.742181,1000,6,1,1464452217,1547774863,0
LTE,212,10,12603,10107,0,7.437057,43.748245,1000,2,1,1464834513,1468531192,0
UMTS,212,10,12603,274905,0,7.443466,43.753281,1000,3,1,1465286790,1490869953,0
UMTS,212,10,12603,273196,0,7.42889,43.742313,1000,5,1,1466711445,1548013206,0
UMTS,212,10,12603,274385,0,7.4301910400391,43.742752075195,1000,1,1,1466688300,1466688300,0
UMTS,212,10,12603,273977,0,7.429556,43.740707,1000,3,1,1466711445,1547774282,0
UMTS,212,10,12603,273805,0,7.4246978759766,43.738632202148,1000,1,1,1466930799,1466930799,0
UMTS,212,10,12603,279499,0,7.4260711669922,43.733139038086,1000,2,1,1467753625,1472225328,0
LTE,212,10,12603,16807,0,7.455597,43.751336,2159,4,1,1467913256,1487165198,0
UMTS,212,10,12603,274565,0,7.462364,43.749228,2366,7,1,1467913776,1476887083,0
UMTS,212,10,12603,273295,0,7.460789,43.745804,2862,5,1,1467913776,1539035740,0
UMTS,212,10,12603,279295,0,7.471731,43.74756,2809,4,1,1467913776,1476887083,0
LTE,212,10,12603,16547,0,7.4192047119141,43.726272583008,1000,1,1,1468334031,1468334031,0
UMTS,212,10,12603,276284,0,7.4150848388672,43.73176574707,1000,1,1,1468427632,1468427632,0
LTE,212,10,12603,4716,0,7.426008,43.737818,1000,2,1,1468552060,1538993157,0
LTE,212,10,12603,2662,0,7.429733,43.742752,1000,6,1,1468552060,1485362900,0
LTE,212,10,12603,7031,0,7.429131,43.740188,1000,6,1,1468552060,1539004185,0
UMTS,212,10,12603,279305,0,7.413024,43.727646,1000,2,1,1469128934,1473345853,0
LTE,212,10,12603,6027,0,7.424001,43.735433,1000,3,1,1469758549,1539018840,0
UMTS,212,10,12603,273176,0,7.429423,43.744328,1000,4,1,1469848044,1547774644,0
UMTS,212,10,12603,279055,0,7.4192047119141,43.726272583008,1000,1,1,1470115152,1470115152,0
UMTS,212,10,12603,277166,0,7.4150848388672,43.729019165039,1000,1,1,1470262489,1470262489,0
UMTS,212,10,12603,277668,0,7.4150848388672,43.729019165039,1000,1,1,1470262489,1470262489,0
UMTS,212,10,12603,277186,0,7.4150848388672,43.727645874023,1000,1,1,1470262489,1470262489,0
LTE,212,10,12603,7032,0,7.4343109130859,43.748245239258,1000,3,1,1470499828,1487165198,0
UMTS,212,10,12603,279266,0,7.4109649658203,43.730392456055,1000,1,1,1471172710,1471172710,0
UMTS,212,10,12603,279406,0,7.4356842041016,43.749618530273,1000,2,1,1471318968,1490410154,0
UMTS,212,10,12603,274486,0,7.4219512939453,43.733139038086,1000,1,1,1471282162,1471282162,0
UMTS,212,10,12603,273185,0,7.4315643310547,43.748245239258,1000,1,1,1471282162,1471282162,0
UMTS,212,10,12603,274095,0,7.4178314208984,43.73176574707,1000,2,1,1471318968,1474051034,0
UMTS,212,10,12603,274086,0,7.4178314208984,43.733139038086,1000,1,1,1471282162,1471282162,0
UMTS,212,10,12603,277555,0,7.4192047119141,43.733139038086,1000,2,1,1471318968,1476887083,0
UMTS,212,10,12603,273467,0,7.4233245849609,43.730392456055,1000,1,1,1471282162,1471282162,0
UMTS,212,10,12603,273309,0,7.4178314208984,43.733139038086,1000,1,1,1471511552,1471511552,0
UMTS,212,10,12603,279509,0,7.4164581298828,43.73176574707,1000,1,1,1472189951,1472189951,0
UMTS,212,10,12603,273667,0,7.424529,43.735204,1000,7,1,1472679162,1539020897,0
UMTS,212,10,12603,275155,0,7.424011,43.730392,1000,4,1,1472679162,1479185836,0
UMTS,212,10,12603,279498,0,7.4068450927734,43.726272583008,1000,2,1,1473393249,1482027811,0
UMTS,212,10,12603,273259,0,7.419205,43.736572,1000,2,1,1473904099,1476887083,0
UMTS,212,10,12603,273269,0,7.4192047119141,43.737258911133,1000,1,1,1473880664,1473880664,0
UMTS,212,10,12603,274496,0,7.421265,43.739319,1000,2,1,1473904099,1479185836,0
UMTS,212,10,12603,274567,0,7.4178314208984,43.74137878418,1000,1,1,1473880664,1473880664,0
UMTS,212,10,12603,273299,0,7.4205780029297,43.737258911133,1000,1,1,1473880664,1473880664,0
